env_id,makespan,return
3,16477.36,0.61
3,17325.56,0.58
4,13591.29,0.74
5,16047.45,0.62
3,16296.52,0.61
3,20287.13,0.49
4,13703.54,0.73
2,13441.79,0.74
0,17774.86,0.56
1,13938.18,0.72
4,16767.11,0.6
2,17884.53,0.56
0,20146.97,0.5
4,13841.29,0.72
1,10459.19,0.96
0,18302.81,0.55
3,17937.31,0.56
3,16150.6,0.62
1,14512.46,0.69
2,7967.31,1.26
5,16771.72,0.6
4,16356.89,0.61
5,12671.66,0.79
5,15414.43,0.65
2,13090.13,0.76
3,16434.02,0.61
0,15205.47,0.66
1,14507.6,0.69
1,22370.93,0.45
5,14027.73,0.71
2,14222.02,0.7
1,15605.31,0.64
0,15156.03,0.66
0,13467.34,0.74
4,14756.39,0.68
2,11237.14,0.89
0,15533.4,0.64
0,15218.41,0.66
4,12366.31,0.81
0,15646.04,0.64
1,15667.52,0.64
2,12440.6,0.8
3,17022.21,0.59
0,13668.73,0.73
2,15138.01,0.66
3,15067.32,0.66
2,15216.46,0.66
2,8564.42,1.17
2,11763.65,0.85
2,17840.2,0.56
2,10663.08,0.94
4,15204.95,0.66
4,14730.58,0.68
0,16371.5,0.61
4,17499.21,0.57
2,13815.86,0.72
4,13301.71,0.75
0,15501.06,0.65
4,12874.11,0.78
0,20380.32,0.49
4,18565.66,0.54
4,17388.13,0.58
3,13402.43,0.75
1,14822.43,0.67
4,8794.56,1.14
1,8399.44,1.19
0,14321.4,0.7
0,18933.05,0.53
1,11735.8,0.85
2,10407.93,0.96
0,16165.71,0.62
0,14858.57,0.67
5,16000.9,0.62
0,16591.27,0.6
2,12980.06,0.77
3,14293.62,0.7
2,11033.17,0.91
2,12171.38,0.82
2,15387.65,0.65
0,20111.53,0.5
1,13728.76,0.73
4,12820.54,0.78
2,16102.68,0.62
2,14959.66,0.67
5,12089.1,0.83
5,12567.3,0.8
3,14777.6,0.68
0,16355.21,0.61
0,12910.71,0.77
1,14708.02,0.68
5,12622.7,0.79
2,17911.29,0.56
4,15234.5,0.66
4,19703.19,0.51
2,11103.02,0.9
2,13992.79,0.71
1,14529.67,0.69
3,18651.47,0.54
3,13934.16,0.72
5,8443.29,1.18
3,17657.77,0.57
4,14773.26,0.68
3,17965.53,0.56
0,13705.09,0.73
0,15835.06,0.63
0,21590.53,0.46
0,17137.85,0.58
2,11683.71,0.86
1,14887.34,0.67
1,16232.5,0.62
2,14628.75,0.68
5,8092.62,1.24
5,14453.36,0.69
1,14810.05,0.68
0,14705.57,0.68
1,18887.15,0.53
2,19155.19,0.52
3,17999.25,0.56
5,12341.3,0.81
4,15953.29,0.63
2,17777.95,0.56
3,14444.07,0.69
1,13532.89,0.74
4,21264.13,0.47
5,15829.96,0.63
1,12308.58,0.81
0,16677.28,0.6
5,11845.98,0.84
3,19670.18,0.51
4,15213.28,0.66
0,16034.82,0.62
4,16653.15,0.6
5,10497.45,0.95
5,14120.33,0.71
0,14210.73,0.7
3,15496.46,0.65
4,17151.33,0.58
3,17834.42,0.56
2,8950.44,1.12
5,15590.35,0.64
2,17636.91,0.57
5,13490.15,0.74
5,12105.78,0.83
5,11601.4,0.86
4,23104.44,0.43
2,8683.27,1.15
4,13585.02,0.74
4,13332.27,0.75
1,18153.33,0.55
5,10735.43,0.93
3,12389.43,0.81
1,12536.06,0.8
2,9581.7,1.04
4,14655.82,0.68
3,16600.49,0.6
3,17664.01,0.57
2,10189.58,0.98
4,10886.13,0.92
5,11392.23,0.88
3,17888.76,0.56
4,14753.57,0.68
0,15687.82,0.64
5,14136.3,0.71
4,16163.19,0.62
0,14308.11,0.7
0,14955.53,0.67
5,12782.43,0.78
0,10812.29,0.92
3,12807.97,0.78
